item,total_revenue,total_volume
Item_14_EHE,1470,60
Item_10_MILK,999,54
Item_25_MILK,2009,49
Item_9_MILK,833,49
Item_5_BEV,517,47
Item_24_CEA,1856.5,47
Item_13_FUR,920,40
Item_22_FUR,1423.5,39
Item_13_BEV,828,36
Item_3_EHE,224,28
Item_21_PAT,805,23
